LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll
0,0.1325456,-0.4571,1.226163,-0.849074,-0.191856,0,0.1513136,-0.523084,1.125524,-0.535855,-0.1795088
0,0.1377584,-0.467851,1.240514,-0.856467,-0.2005328,0,0.1561184,-0.51705,1.124693,-0.538164,-0.1856448
0,0.1429248,-0.478956,1.255207,-0.863876,-0.2092464,0,0.1607408,-0.511092,1.123837,-0.540418,-0.1915824
0,0.1480512,-0.490393,1.270193,-0.871275,-0.218,0,0.1651824,-0.505216,1.122961,-0.542622,-0.1973248
0,0.1531424,-0.502139,1.285427,-0.878639,-0.2267984,0,0.169448,-0.499422,1.122067,-0.544778,-0.2028752
0,0.1582064,-0.514173,1.300863,-0.885943,-0.2356432,0,0.1735424,-0.493715,1.121158,-0.546887,-0.2082384
0,0.1632496,-0.526472,1.316457,-0.893162,-0.2445392,0,0.1774704,-0.488095,1.120239,-0.548952,-0.213416
0,0.1682784,-0.539013,1.332164,-0.900272,-0.2534848,0,0.1812336,-0.482566,1.119311,-0.550975,-0.2184112
0,0.173296,-0.551775,1.347942,-0.907247,-0.2624784,0,0.1848384,-0.477129,1.118377,-0.552959,-0.2232272
0,0.1783104,-0.564735,1.36375,-0.914065,-0.27152,0,0.1882864,-0.471786,1.117439,-0.554905,-0.2278672
0,0.1833264,-0.57787,1.379547,-0.920702,-0.2806064,0,0.191584,-0.466537,1.116501,-0.556815,-0.2323344
0,0.1883488,-0.591159,1.395293,-0.927134,-0.2897312,0,0.1947312,-0.461385,1.115564,-0.558691,-0.2366304
0,0.1933808,-0.604578,1.410951,-0.93334,-0.2988896,0,0.1977328,-0.456331,1.11463,-0.560536,-0.2407584
0,0.1984288,-0.618106,1.426483,-0.939297,-0.3080736,0,0.2005936,-0.451375,1.113702,-0.56235,-0.2447232
0,0.2034928,-0.631718,1.441854,-0.944984,-0.317272,0,0.2033152,-0.446519,1.112781,-0.564136,-0.2485248
0,0.2085776,-0.645393,1.45703,-0.95038,-0.3264736,0,0.2059008,-0.441762,1.111868,-0.565895,-0.2521664
0,0.2136848,-0.659107,1.471976,-0.955465,-0.3356672,0,0.2083536,-0.437107,1.110966,-0.56763,-0.2556512
0,0.218816,-0.672837,1.48666,-0.960219,-0.3448384,0,0.2106768,-0.432552,1.110076,-0.569341,-0.2589792
0,0.2239696,-0.68656,1.501052,-0.964624,-0.3539696,0,0.212872,-0.428099,1.1092,-0.57103,-0.2621552
0,0.2291456,-0.70025,1.51512,-0.968661,-0.3630416,0,0.2149408,-0.423747,1.108339,-0.572699,-0.2651808
0,0.234344,-0.713886,1.528837,-0.972314,-0.3720352,0,0.216888,-0.419498,1.107493,-0.57435,-0.2680576
0,0.23956,-0.727442,1.542175,-0.975565,-0.3809312,0,0.2187152,-0.41535,1.106665,-0.575983,-0.2707872
0,0.2447888,-0.740894,1.555105,-0.9784,-0.3897024,0,0.2204224,-0.411305,1.105855,-0.5776,-0.2733728
0,0.2500272,-0.754218,1.567604,-0.980803,-0.3983264,0,0.2220144,-0.407361,1.105064,-0.579203,-0.2758144
0,0.2552672,-0.767388,1.579646,-0.982762,-0.406776,0,0.2234928,-0.403519,1.104294,-0.580792,-0.2781152
0,0.2604992,-0.780381,1.591208,-0.984263,-0.415024,0,0.2248592,-0.399778,1.103544,-0.58237,-0.2802768
0,0.2657152,-0.793172,1.602268,-0.985296,-0.4230416,0,0.2261136,-0.396139,1.102817,-0.583937,-0.2822976
0,0.2709024,-0.805736,1.612804,-0.98585,-0.4307984,0,0.2272592,-0.392601,1.102112,-0.585495,-0.284184
0,0.2760496,-0.818048,1.622796,-0.985917,-0.4382656,0,0.2282976,-0.389163,1.10143,-0.587044,-0.2859344
0,0.2811424,-0.830085,1.632225,-0.985489,-0.4454112,0,0.2292304,-0.385826,1.100772,-0.588587,-0.2875488
0,0.2861648,-0.841823,1.641074,-0.984561,-0.4522032,0,0.2300592,-0.382588,1.100138,-0.590124,-0.289032
0,0.2911008,-0.853239,1.649325,-0.983127,-0.4586128,0,0.230784,-0.379449,1.099529,-0.591656,-0.2903824
0,0.2959312,-0.86431,1.656963,-0.981185,-0.464608,0,0.2314064,-0.376409,1.098945,-0.593184,-0.2916016
0,0.3006384,-0.875014,1.663974,-0.978734,-0.47016,0,0.2319296,-0.373467,1.098387,-0.594709,-0.2926896
0,0.3052,-0.885329,1.670345,-0.975774,-0.4752384,0,0.2323504,-0.370623,1.097854,-0.596233,-0.2936496
0,0.3095968,-0.895236,1.676064,-0.972306,-0.4798192,0,0.2326736,-0.367875,1.097348,-0.597757,-0.29448
0,0.313808,-0.904716,1.68112,-0.968335,-0.4838768,0,0.2328992,-0.365224,1.096867,-0.599281,-0.2951824
